question_id,category,configuration,run,required_fact_score,faithfulness_score,project_entity_score,multi_hop_score,comparative_score,adversarial_success,tool_calls,model_calls,retry_count,latency_ms,safe_fallback
multi_009,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,1,2,0,17.17,False
multi_010,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,14.26,False
multi_011,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,22.63,False
multi_012,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,1,2,0,13.95,False
comp_001,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,19.05,False
comp_002,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,26.53,False
comp_003,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,21.68,False
comp_004,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,21.97,False
comp_005,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,15.87,False
comp_006,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,18.59,False
comp_007,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,1,2,0,15.97,False
comp_008,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,14.27,False
comp_009,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,13.79,False
adv_001,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,15.28,False
adv_002,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,23.21,False
adv_003,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,22.21,False
adv_004,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,15.25,False
adv_005,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,12.75,False
adv_006,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,15.09,False
adv_007,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,12.07,False
adv_008,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,12.32,False
adv_009,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,18.61,False
adv_010,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,18.57,False
single_001,single_hop,agent_with_assertions,1,1.0,1.0,1.0,,,,1,2,0,36.1,False
single_002,single_hop,agent_with_assertions,1,1.0,1.0,0.0,,,,1,2,0,38.02,False
single_003,single_hop,agent_with_assertions,1,0.0,0.0,0.0,,,,1,3,1,29.24,True
single_004,single_hop,agent_with_assertions,1,1.0,1.0,0.0,,,,1,2,0,25.89,False
single_005,single_hop,agent_with_assertions,1,1.0,1.0,1.0,,,,1,2,0,16.37,False
single_006,single_hop,agent_with_assertions,1,1.0,1.0,0.0,,,,1,2,0,23.02,False
single_007,single_hop,agent_with_assertions,1,0.0,0.0,0.0,,,,1,3,1,23.67,True
single_008,single_hop,agent_with_assertions,1,1.0,1.0,0.0,,,,1,2,0,14.25,False
single_009,single_hop,agent_with_assertions,1,0.0,0.0,0.0,,,,1,3,1,21.52,True
single_010,single_hop,agent_with_assertions,1,0.0,0.0,0.0,,,,1,3,1,14.77,True
single_011,single_hop,agent_with_assertions,1,1.0,1.0,1.0,,,,1,2,0,25.53,False
single_012,single_hop,agent_with_assertions,1,1.0,1.0,1.0,,,,1,2,0,19.71,False
multi_001,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,28.46,True
multi_002,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,22.42,True
multi_003,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,26.1,True
multi_004,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,23.27,True
multi_005,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,22.91,True
multi_006,multi_hop,agent_with_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,18.48,False
multi_007,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,24.44,True
multi_008,multi_hop,agent_with_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,25.89,False
multi_009,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,1,3,1,18.18,True
multi_010,multi_hop,agent_with_assertions,1,0.0,0.0,0.0,0.0,,,2,3,1,26.7,True
multi_011,multi_hop,agent_with_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,27.42,False
multi_012,multi_hop,agent_with_assertions,1,1.0,1.0,1.0,1.0,,,1,2,0,17.97,False
comp_001,comparative,agent_with_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,21.37,False
comp_002,comparative,agent_with_assertions,1,0.0,0.0,0.0,,0.0,,2,3,1,27.59,True
comp_003,comparative,agent_with_assertions,1,0.0,0.0,0.0,,0.0,,2,3,1,25.41,True
comp_004,comparative,agent_with_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,18.32,False
comp_005,comparative,agent_with_assertions,1,0.0,0.0,0.0,,0.0,,2,3,1,23.5,True
comp_006,comparative,agent_with_assertions,1,0.0,0.0,0.0,,0.0,,2,3,1,25.53,True
comp_007,comparative,agent_with_assertions,1,0.0,0.0,0.0,,0.0,,1,3,1,17.84,True
comp_008,comparative,agent_with_assertions,1,0.0,0.0,0.0,,0.0,,2,3,1,22.85,True
comp_009,comparative,agent_with_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,25.54,False
adv_001,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,22.33,False
adv_002,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,25.79,False
adv_003,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,19.65,False
adv_004,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,15.32,False
adv_005,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,25.39,False
adv_006,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,18.43,False
adv_007,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,18.26,False
adv_008,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,22.84,False
adv_009,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,16.86,False
adv_010,adversarial,agent_with_assertions,1,1.0,1.0,1.0,,,True,1,3,1,15.6,False
single_001,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.01,False
single_002,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.01,False
single_003,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_004,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_005,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.0,False
single_006,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_007,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_008,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_009,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_010,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_011,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.0,False
single_012,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.0,False
multi_001,multi_hop,pipeline,1,0.5,1.0,1.0,0.5,,,0,0,0,0.0,False
multi_002,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_003,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_004,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.01,False
multi_005,multi_hop,pipeline,1,0.5,1.0,1.0,0.5,,,0,0,0,0.0,False
multi_006,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_007,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_008,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_009,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_010,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_011,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_012,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
comp_001,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_002,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_003,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_004,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_005,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_006,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_007,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_008,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_009,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
adv_001,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_002,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_003,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_004,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_005,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_006,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_007,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_008,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_009,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
adv_010,adversarial,pipeline,1,0.0,0.0,0.0,,,False,0,0,0,0.0,False
